feature,gain,split,combined
VSUMD5,0.0022277917432524793,0.0031666666666666666,0.0025094542202767356
VSUMD60,0.0020579822969698084,0.0028333333333333335,0.002290587607878866
CNTP60,0.001967395022407083,0.003,0.002277176515684958
KMID2,0.001702023371127399,0.0033333333333333335,0.002191416359789179
QTLU5,0.0019783956539893397,0.0026666666666666666,0.0021848769577925376
SUMN10,0.002039429593210563,0.0025,0.002177600715247394
KMID,0.0016557452665463357,0.0033333333333333335,0.0021590216865824347
ema_12,0.0017341260171657904,0.003,0.002113888212016053
CNTN60,0.001486732275858534,0.0035,0.0020907125931009735
CORR5,0.0015423209637141395,0.0033333333333333335,0.0020796246745998976
VSUMN20,0.001850739242599863,0.0025,0.002045517469819904
RSQR20,0.0016597569666137284,0.0028333333333333335,0.0020118298766296097
IMXD5,0.0020133787382199215,0.002,0.002009365116753945
RANK60,0.0020591783019137822,0.0018333333333333333,0.0019914248113396477
STD5,0.0015378692162779973,0.003,0.001976508451394598
SUMN30,0.0016683806295719123,0.0025,0.0019178664407003385
QTLD5,0.001512212558932123,0.0028333333333333335,0.001908548791252486
SUMD10,0.001469915583387349,0.0023333333333333335,0.0017289409083711444
IMIN5,0.0012355777246210837,0.0028333333333333335,0.0017149044072347587
VSUMN5,0.0014486327722025905,0.0023333333333333335,0.0017140429405418135
VMA20,0.0014359729376151587,0.0023333333333333335,0.0017051810563306108
MAX10,0.0014274701833306045,0.0023333333333333335,0.0016992291283314232
boll_mid,0.0011950661960850385,0.0028333333333333335,0.0016865463372595269
rsi,0.001301740894474154,0.0025,0.001661218626131908
IMAX5,0.001207558370317549,0.0021666666666666666,0.0014952908592222843
收盘,0.001425005417827258,0.0015,0.0014475037924790808
RSQR60,0.0009671477162238615,0.0025,0.0014270034013567031
涨跌幅,0.0009841518193224273,0.0023333333333333335,0.0013889062735256991
ROC10,0.0011031755195254015,0.0016666666666666668,0.001272222863667781
IMIN10,0.000957259458630156,0.002,0.001270081621041109
low_close_spread,0.0010922418592967669,0.0016666666666666668,0.0012645693015077369
QTLD20,0.0010898455129181549,0.0016666666666666668,0.0012628918590427084
OPEN0,0.0010179553508015908,0.0018333333333333333,0.0012625687455611134
CNTN20,0.0009732846774219583,0.0016666666666666668,0.0011812992741953706
VSUMD20,0.0013863564597902985,0.0006666666666666666,0.001170449521853209
CNTD20,0.001144352238165775,0.0011666666666666668,0.0011510465667160426
open_close_spread,0.0007073868084193842,0.002,0.001095170765893569
最高,0.0009664486078852833,0.0013333333333333333,0.001076514025519698
SUMD5,0.0011733248549116281,0.0008333333333333334,0.0010713273984381396
CNTD60,0.0008091861969449921,0.0016666666666666668,0.0010664303378614946
VMA60,0.0010106698881993254,0.0011666666666666668,0.0010574689217395278
IMAX10,0.0007227607908367307,0.0015,0.0009559325535857114
CNTD30,0.0007724138886741653,0.0011666666666666668,0.0008906897220719156
high_close_spread,0.0006941091016907364,0.0013333333333333333,0.0008858763711835154
SUMP20,0.0006181449253094311,0.0015,0.0008827014477166017
sma_5,0.0007364183389425935,0.0011666666666666668,0.0008654928372598153
CNTN5,0.0006603596439850312,0.0011666666666666668,0.0008122517507895219
macd,0.0005080208910949132,0.0013333333333333333,0.0007556146237664393
CNTD5,0.0007768751332704788,0.0006666666666666666,0.000743812593289335
涨跌额,0.0004225330361786524,0.0013333333333333333,0.0006957731253250567
开盘,0.0004069395820311396,0.0011666666666666668,0.0006348577074217977
SUMD20,0.00035956370943889205,0.0011666666666666668,0.0006016945966072244
return_1,0.00045807843143437884,0.0008333333333333334,0.0005706549020040652
RANK10,0.0005222869902067722,0.0005,0.0005156008931447405
CNTN30,0.00041541684408202703,0.0006666666666666666,0.0004907917908574189
return_10,0.00034155736939000327,0.0006666666666666666,0.0004390901585730022
SUMD30,0.00032381606287848225,0.0006666666666666666,0.00042667124401493754
CNTN10,0.00023219102570953433,0.0006666666666666666,0.000362533717996674
CNTP20,0.00022868461140568852,0.0006666666666666666,0.000360079227983982
最低,0.0002874529757773485,0.0005,0.00035121708304414396
high_low_spread,0.0002510933218450354,0.0005,0.0003257653252915247
CNTP10,0.000192843406901315,0.0005,0.00028499038483092043
CNTD10,0.00015585022415884813,0.0005,0.00025909515691119366
RANK5,0.00015066261874077525,0.0003333333333333333,0.00020546383311854265
CNTP30,0.0001479968341074057,0.0003333333333333333,0.00020359778387518397
CNTP5,9.076828142966352e-05,0.0003333333333333333,0.00016353779700076443
RSQR10,8.551297872561066e-05,0.0003333333333333333,0.00015985908510792745
RANK20,7.275204031838925e-05,0.00016666666666666666,0.00010092642822287246
RSQR30,0.0,0.0,0.0
RSQR5,0.0,0.0,0.0
RANK30,0.0,0.0,0.0
